Canal,Fecha,categoria,subcategoria,sku,marca,descripcion,precio
Costco,21-04-2024,Aires Acondicionados,,682312,Carrier,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$10,599"
Costco,21-04-2024,Aires Acondicionados,,682212,Carrier,"Carrier Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 220V, Gas R32, con Wi-Fi","$9,999"
Costco,21-04-2024,Aires Acondicionados,,682218,Carrier,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$13,599"
Costco,21-04-2024,Aires Acondicionados,,682324,Carrier,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$18,999"
Costco,21-04-2024,Calentadores,,676432,Carrier,"Carrier, Aire Acondicionado Minisplit Inverter con Wi-Fi, 36,000 btus 220V, enfriamiento y calefacción, 17 SEER","$28,599"
Costco,21-04-2024,Aires Acondicionados,,683209,Carrier,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$11,599"
Costco,21-04-2024,Aires Acondicionados,,683208,Carrier,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 12,000 BTU, 110V, Gas R32, con Wi-Fi","$9,999"
Costco,21-04-2024,Calentadores,,677142,LG,"LG Aire Acondicionado ArtCool Inverter, VR182HW, Frío y Calor, 220V,  1.5 Toneladas, 18,000 BTU/h, WiFi","$17,999"
Costco,21-04-2024,Aires Acondicionados,,682318,Carrier,"Carrier, Aire Acondicionado Minisplit, Enfriamiento y Calefacción, 18,000 BTU, 220V, Gas R32, con Wi-Fi","$14,999"
Costco,21-04-2024,Aires Acondicionados,,682224,Carrier,"Carrier, Aire Acondicionado Minisplit, Solo Enfriamiento, 24,000 BTU, 220V, Gas R32, con Wi-Fi","$16,999"
Costco,21-04-2024,Calentadores,,677144,LG,"LG Aire Acondicionado ArtCool Inverter, VR242HW, Frío y Calor, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$21,499"
Costco,21-04-2024,Aires Acondicionados,,677150,LG,"LG Aire Acondicionado DualCool Inverter Tipo Ventana WiFi Solo Frío14,000 Btus VW151CE","$10,999"
Costco,21-04-2024,Aires Acondicionados,,680995,Carrier,"Carrier, Aire Acondicionado Ventana De 12,000 Bus a 110V, Sólo Frío","$7,699"
Costco,21-04-2024,Calentadores,,677140,LG,"LG Aire Acondicionado ArtCool Inverter, VR122HD, Frío y Calor, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,999"
Costco,21-04-2024,Aires Acondicionados,,677141,LG,"LG Aire Acondicionado ArtCool Inverter, VR182CW, Solo Frío, 220V, 1.5 Toneladas, 18,000 BTU/h, Wifi","$16,999"
Costco,21-04-2024,Aires Acondicionados,,677143,LG,"LG Aire Acondicionado ArtCool Inverter, VR242CW, Solo Frío, 220V, 2 Toneladas, 22,000 BTU/h, WiFi","$19,999"
Costco,21-04-2024,Calentadores,,674429,DeLonghi,"De'Longhi, Calentador de Aceite Portátil, TRLS0715EL","$2,599"
Costco,21-04-2024,Aires Acondicionados,,677139,LG,"LG Aire Acondicionado ArtCool Inverter, VR122CW, Solo Frío, 220V, 1 Tonelada, 12,000 BTU/h, WiFi","$15,499"
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,https:,,,,,
Costco,21-04-2024,https:,,,,,
